"NOMBRE"	"CALLE.Y.NUMERO"	"LOCALIDAD"	"MUNICIPIO"	"LAT_HITS"	"LNG_HITS"
"JUAN PACHECO TORRES"	"CALLE 55 268"	"TEKAX DE ALVARO OBREGON"	"TEKAX"	"20.2077397"	"-89.2986715"
"JUAN PACHECO TORRES"	"CALLE 55 268"	"TEKAX DE ALVARO OBREGON"	"TEKAX"	"20.2077397"	"-89.2986715"
"SECUNDARIA COMUNITARIA"	""	"SAN JUAN"	"TEKAX"	"20.2077397"	"-89.2986715"
"ELENA VALENCIA DE GIL"	"CALLE 45 209"	"TEKAX DE ALVARO OBREGON"	"TEKAX"	"20.2083311"	"-89.2879369"
"JOSE DIAZ BOLIO"	""	"TIXCUYTUN"	"TEKAX"	"20.2090436"	"-89.2038921"
"ROGERIO CHALE"	"CALLE 44 177"	"TEKAX DE ALVARO OBREGON"	"TEKAX"	"20.2092488"	"-89.2804957"
"VICENTE GUERRERO"	""	"TIXCUYTUN"	"TEKAX"	"20.2096362"	"-89.2048132"
"JUAN SARABIA"	"CALLE 50 145"	"TEKAX DE ALVARO OBREGON"	"TEKAX"	"20.2102743"	"-89.2845422"
"MANUELA ALONZO ROMERO"	"CALLE 53 135"	"TEKAX DE ALVARO OBREGON"	"TEKAX"	"20.2119444"	"-89.2763888"
"PRIMARIA INDIGENA PAEPI"	""	"HOUITZ"	"TEKAX"	"20.2119444"	"-89.2763888"
"NACHI COCOM"	""	"EMILIANO ZAPATA"	"OXKUTZCAB"	"20.2246309"	"-89.4664681"
"ANTONIO MEDIZ BOLIO"	""	"EMILIANO ZAPATA"	"OXKUTZCAB"	"20.2269048"	"-89.4673541"
"FELIPE CARRILLO PUERTO"	"CALLE 20 40"	"AKIL"	"AKIL"	"20.2633928"	"-89.3476313"
"MOISES VAZQUEZ VEGA"	"CALLE 68"	"OXKUTZCAB"	"OXKUTZCAB"	"20.2927056"	"-89.422971"
"PRIMARIA INDIGENA PAEPI"	""	"SAHCAHMUCUY"	"OXKUTZCAB"	"20.2927056"	"-89.422971"
"VALENTIN GOMEZ FARIAS"	"CALLE 57 75"	"OXKUTZCAB"	"OXKUTZCAB"	"20.2969923"	"-89.4129419"
"ESCUELA SECUNDARIA TECNICA NUM. 70"	"CALLE 28"	"YOTHOLIN"	"TICUL"	"20.2974348"	"-89.3992817"
"SECUNDARIA COMUNITARIA"	""	"BOMBAHALTUN"	"OXKUTZCAB"	"20.2974348"	"-89.3992817"
"SAC NICTE"	"CALLE 32 95 D"	"OXKUTZCAB"	"OXKUTZCAB"	"20.2998375"	"-89.4044707"
"ARCADIO SANTOYO"	"CALLE 50 50"	"OXKUTZCAB"	"OXKUTZCAB"	"20.3010922"	"-89.4186014"
"NIÑO ARTILLERO"	""	"OXKUTZCAB"	"OXKUTZCAB"	"20.3017579"	"-89.3902638"
"XICOTENCATL"	"CALLE 44"	"OXKUTZCAB"	"OXKUTZCAB"	"20.3020035"	"-89.414865"
"FELIPE CARRILLO PUERTO"	"CALLE 36 65"	"OXKUTZCAB"	"OXKUTZCAB"	"20.3047279"	"-89.4209385"
"CHAN KIIN"	"CALLE 54 100"	"OXKUTZCAB"	"OXKUTZCAB"	"20.3053415"	"-89.4199882"
"MOISES VAZQUEZ PACHO"	"CALLE 56"	"OXKUTZCAB"	"OXKUTZCAB"	"20.3064743"	"-89.4206218"
"JACINTO CANEK"	"CALLE 52 103"	"OXKUTZCAB"	"OXKUTZCAB"	"20.3066173"	"-89.4183844"
"JOSE ANDRES ESPINOSA COLONIA"	"CALLE 52 105 D"	"OXKUTZCAB"	"OXKUTZCAB"	"20.3066173"	"-89.4183844"
"JOSEFA ORTIZ DE DOMINGUEZ"	"CALLE 52 105 D"	"OXKUTZCAB"	"OXKUTZCAB"	"20.3066173"	"-89.4183844"
"JOSE DE LOS REYES MARTINEZ"	"CALLE 45 112"	"OXKUTZCAB"	"OXKUTZCAB"	"20.3075178"	"-89.4212525"
"EMILIANO ZAPATA"	"CALLE 47 142"	"OXKUTZCAB"	"OXKUTZCAB"	"20.3086249"	"-89.4257713"
"ESCUELA CONAFE"	""	"EMILIANO ZAPATA"	"OXKUTZCAB"	"20.3086249"	"-89.4257713"
"JUAN DE DIOS RODRIGUEZ HEREDIA"	"CALLE 47 142"	"OXKUTZCAB"	"OXKUTZCAB"	"20.3087056"	"-89.4258537"
"MELCHOR OCAMPO"	"CALLE 40"	"OXKUTZCAB"	"OXKUTZCAB"	"20.3093745"	"-89.408305"
"RAFAEL MATOS ESCOBEDO"	"CALLE 43 100 A"	"OXKUTZCAB"	"OXKUTZCAB"	"20.3101"	"-89.4183784"
"RAFAEL MATOS ESCOBEDO"	"CALLE 43 100 A"	"OXKUTZCAB"	"OXKUTZCAB"	"20.3101"	"-89.4183784"
"CARLOS CARRILLO ALONZO"	"CALLE 50 50"	"OXKUTZCAB"	"OXKUTZCAB"	"20.3114884"	"-89.4154897"
"YOOTOCH MEJEN CHI'IICH"	"CALLE 31"	"OXKUTZCAB"	"OXKUTZCAB"	"20.3180992"	"-89.4106154"
"UXMAL"	""	"MERIDA"	"MERIDA"	"20.3766493"	"-89.7713016"
"IXCHEL"	"CALLE 37"	"TICUL"	"TICUL"	"20.3811803"	"-89.5332205"
"JACINTO PAT"	"CALLE 20 SN"	"DZAN"	"DZAN"	"20.3883765"	"-89.4691036"
"LUIS HIDALGO MONROY"	"CALLE 19"	"DZAN"	"DZAN"	"20.3897829"	"-89.4743079"
"DELIO CASTILLO AYUSO"	"CALLE 23"	"MANI"	"MANI"	"20.3900574"	"-89.3941745"
"YUCATAN"	"CALLE 33 170 B"	"TICUL"	"TICUL"	"20.3912217"	"-89.5274673"
"RODOLFO MENENDEZ DE LA PEÑA"	"CALLE 29 214"	"TICUL"	"TICUL"	"20.3933276"	"-89.5378232"
"30 DE ABRIL"	"CALLE 27"	"TICUL"	"TICUL"	"20.3935235"	"-89.546447"
"CUAUHTEMOC"	"CALLE 14 203 B"	"TICUL"	"TICUL"	"20.3946554"	"-89.5231789"
"VENUSTIANO CARRANZA"	"CALLE 25 226"	"TICUL"	"TICUL"	"20.3962476"	"-89.5405719"
"FELIPE CARRILLO PUERTO"	"CALLE 24 256 A"	"TICUL"	"TICUL"	"20.3970298"	"-89.532789"
"SATURNINO GOMEZ SOSA"	"CALLE 21"	"TICUL"	"TICUL"	"20.3971467"	"-89.5510899"
"JOAQUIN BARRERA GONZALEZ"	"CALLE 25 200"	"TICUL"	"TICUL"	"20.3975632"	"-89.5318519"
"VICENTE GUERRERO"	"CALLE 19"	"TICUL"	"TICUL"	"20.4004595"	"-89.5318949"
"RICARDO FLORES MAGON"	"CALLE 25 139 NA"	"TICUL"	"TICUL"	"20.4005146"	"-89.5232769"
"MANUEL CEPEDA PERAZA"	"CALLE 15 218"	"TICUL"	"TICUL"	"20.4030518"	"-89.5392716"
"COL. OBRERA"	"CALLE 18"	"TICUL"	"TICUL"	"20.4030959"	"-89.5276198"
"ESTADO DE CAMPECHE"	"CALLE 24 173"	"TICUL"	"TICUL"	"20.4037045"	"-89.533939"
"JOSE DOLORES RODRIGUEZ TAMAYO"	"CALLE 18 175 A"	"TICUL"	"TICUL"	"20.4060522"	"-89.5285162"
"FELIPE CARRILLO PUERTO"	"CALLE 9"	"TICUL"	"TICUL"	"20.4099788"	"-89.5349646"
"BENITO JUAREZ GARCIA"	"CALLE 29"	"CHAPAB"	"CHAPAB"	"20.4550536"	"-89.4534677"
"FELIPE DE JESUS MIS"	"CALLE 33 99"	"HALACHO"	"HALACHO"	"20.4699281"	"-90.0801514"
"FRANCISCO J. MUJICA"	"CALLE 26"	"CANTAMAYEC"	"CANTAMAYEC"	"20.472265"	"-89.0838895"
"VALENTIN GOMEZ FARIAS"	"CALLE 32 207"	"MAMA"	"MAMA"	"20.4759086"	"-89.3685597"
"LUIS DONALDO COLOSIO MURRIETA"	"CALLE 19 106"	"HALACHO"	"HALACHO"	"20.4787311"	"-90.08257"
"ALFONSO CASO ANDRADE"	"CALLE 20"	"MUNA"	"MUNA"	"20.4803239"	"-89.7104468"
"FELIPE CARRILLO PUERTO"	"CALLE 17 91 NA"	"HALACHO"	"HALACHO"	"20.4803868"	"-90.0779829"
"FELIPE CARRILLO PUERTO"	"CALLE 15"	"MUNA"	"MUNA"	"20.4828214"	"-89.7049847"
"LEOPOLDO ARANA CABRERA"	"CALLE 36 236"	"MUNA"	"MUNA"	"20.4847898"	"-89.7204671"
"PEDRO C DOMINGUEZ"	"CALLE 26 171"	"MUNA"	"MUNA"	"20.4855818"	"-89.713662"
"PREESCOLAR INDIGENA PAEPI"	""	"X'TUT"	"TEMOZON"	"20.4864898"	"-87.9921584"
"RAMON GONZALEZ JIMENEZ"	"CALLE 20"	"HALACHO"	"HALACHO"	"20.492326"	"-90.0769858"
"AQUILES SERDAN"	"CALLE 26"	"SACALUM"	"SACALUM"	"20.4974133"	"-89.5894138"
"BENITO JUAREZ GARCIA"	""	"LOL-BE"	"CHEMAX"	"20.5021757"	"-87.9238695"
"HERMENEGILDO GALEANA"	"CALLE 11"	"CEPEDA"	"HALACHO"	"20.5069872"	"-90.1094518"
"ESCUELA SECUNDARIA TECNICA NUM. 53"	"CALLE 17"	"CEPEDA"	"HALACHO"	"20.5113634"	"-90.1187234"
"PRINCIPE XIU"	"CALLE 21"	"TEKIT"	"TEKIT"	"20.5353053"	"-89.3298903"
"VENUSTIANO CARRANZA"	"CALLE 25"	"YAXCABA"	"YAXCABA"	"20.5474404"	"-88.8264977"
"ESCUELA SECUNDARIA TECNICA NUM. 42"	"CALLE 23"	"OPICHEN"	"OPICHEN"	"20.5475198"	"-89.8500283"
"NICTE HA"	"CALLE 17"	"YAXCABA"	"YAXCABA"	"20.5478862"	"-88.8276919"
"JOSE EUGENIO CHABLE"	""	"CALCEHTOK"	"OPICHEN"	"20.5682889"	"-89.9119472"
"ESCUELA SECUNDARIA TECNICA NUM. 5"	"CALLE 25"	"MAXCANU"	"MAXCANU"	"20.5815014"	"-90.0083441"
"DRA.  MONTESSORI"	"CALLE 20 103"	"MAXCANU"	"MAXCANU"	"20.5829498"	"-90.0009318"
"BENITO JUAREZ GARCIA"	"CALLE 16 82"	"MAXCANU"	"MAXCANU"	"20.5837337"	"-89.9967371"
"GUADALUPE VICTORIA"	"CALLE 19"	"MAXCANU"	"MAXCANU"	"20.5845372"	"-89.997002"
"ELADIO NOVELO GIL"	"CALLE 14 79"	"MAXCANU"	"MAXCANU"	"20.5856059"	"-89.995186"
"JOAQUIN BARANDA"	"CALLE 15"	"MAXCANU"	"MAXCANU"	"20.5870954"	"-90.004663"
"RENE TORRES CASTILLO"	"CALLE 16 82"	"MAXCANU"	"MAXCANU"	"20.5889654"	"-89.9967019"
"HERBERT SPENCER"	"CALLE 13"	"MAXCANU"	"MAXCANU"	"20.5904573"	"-90.0062564"
"LAZARO CARDENAS DEL RIO"	"CALLE 13"	"MAXCANU"	"MAXCANU"	"20.5904698"	"-90.0056517"
"MELCHOR OCAMPO"	"CALLE 23 78"	"SOTUTA"	"SOTUTA"	"20.5947583"	"-89.0048651"
"LEONA VICARIO"	"CALLE 20"	"SOTUTA"	"SOTUTA"	"20.5956727"	"-89.0068934"
"NACHI COCOM"	"CALLE 20 100"	"SOTUTA"	"SOTUTA"	"20.5968847"	"-89.0064059"
"PEDRO PABLO ECHEVERRIA"	"CALLE 21 163"	"SOTUTA"	"SOTUTA"	"20.5989466"	"-89.0145746"
"MANUEL ALCALA MARTIN"	""	"XOCEN"	"VALLADOLID"	"20.59903"	"-88.163444"
"1 DE MAYO"	""	"KAUA"	"KAUA"	"20.6214393"	"-88.4146626"
"MAYAPAN"	"CALLE CONOCIDO SN"	"TELCHAQUILLO"	"TECOH"	"20.6296289"	"-89.4604935"
"LAZARO CARDENAS"	"CALLE 19"	"CHICHIMILA"	"CHICHIMILA"	"20.6342627"	"-88.2194569"
"HUNAB CEEL"	""	"SAN ISIDRO OCHIL"	"HOMUN"	"20.6368664"	"-89.3442237"
"DAVID VIVAS ROMERO"	""	"SAN ISIDRO OCHIL"	"HOMUN"	"20.6399898"	"-89.3421453"
"DOMINGO SOLIS"	"CALLE 23-A"	"KOPOMA"	"KOPOMA"	"20.645795"	"-89.903595"
"FRANCISCO I. MADERO"	"CALLE 14"	"CHEMAX"	"CHEMAX"	"20.6473821"	"-87.9340101"
"LEYES DE REFORMA"	"CALLE 19"	"KOPOMA"	"KOPOMA"	"20.6486769"	"-89.8948725"
"JAIME NUNO"	""	"X-CALAKOOP"	"TINUM"	"20.6507559"	"-88.5266948"
"VENUSTIANO CARRANZA"	""	"X-CALAKOOP"	"TINUM"	"20.6509725"	"-88.5264316"
"VICENTE GUERRERO"	""	"TOHOPKU"	"TINUM"	"20.6549864"	"-88.4633837"
"ERMILO ABREU GOMEZ"	"CALLE 32-A 143"	"CHEMAX"	"CHEMAX"	"20.6550679"	"-87.946018"
"JUAN ESCUTIA"	"CALLE 26"	"CHEMAX"	"CHEMAX"	"20.6611515"	"-87.9415923"
"LUIS ROSADO VEGA"	"CALLE 14"	"CHEMAX"	"CHEMAX"	"20.6612067"	"-87.9289967"
"SANTIAGO BURGOS BRITO"	"CALLE 40"	"VALLADOLID"	"VALLADOLID"	"20.6724076"	"-88.2001448"
"PABLO NERUDA"	"CALLE 49 131"	"VALLADOLID"	"VALLADOLID"	"20.6785462"	"-88.1821657"
"FRANCISCO DE MONTEJO"	"CALLE 49 142 A"	"VALLADOLID"	"VALLADOLID"	"20.6802165"	"-88.1886389"
"VALLADOLID"	"CALLE 40 157"	"VALLADOLID"	"VALLADOLID"	"20.68026"	"-88.2005873"
"INSTITUTO SIGLO XXI DE VALLADOLID"	"CALLE 42-A 245"	"VALLADOLID"	"VALLADOLID"	"20.6807785"	"-88.2038691"
"SECUNDARIA SIGLO XXI"	"CALLE 44"	"VALLADOLID"	"VALLADOLID"	"20.6807785"	"-88.2038691"
"PANFILO NOVELO MARTIN"	"CALLE 78"	"VALLADOLID"	"VALLADOLID"	"20.6809946"	"-88.2008432"
"CARLOS NOVELO FERNANDEZ"	"CALLE 53 205"	"VALLADOLID"	"VALLADOLID"	"20.6817312"	"-88.2041742"
"BENITO JUAREZ GARCIA"	"CALLE 40"	"VALLADOLID"	"VALLADOLID"	"20.6843356"	"-88.2012114"
"BENITO JUAREZ GARCIA"	"CALLE 40 229"	"VALLADOLID"	"VALLADOLID"	"20.6843356"	"-88.2012114"
"FRANCISCO I. MADERO"	"CALLE 40 162"	"VALLADOLID"	"VALLADOLID"	"20.6843444"	"-88.1894445"
"RAMON A. OSORIO Y OSORIO"	"CALLE 40 216"	"VALLADOLID"	"VALLADOLID"	"20.6843444"	"-88.1894445"
"ARTEMIO ALPIZAR RUZ"	"CALLE 41-A 234"	"VALLADOLID"	"VALLADOLID"	"20.6867177"	"-88.2088536"
"ARTEMIO ALPIZAR RUZ"	"CALLE 41-A 234"	"VALLADOLID"	"VALLADOLID"	"20.6867177"	"-88.2088536"
"NAZUL"	"CALLE 40-A"	"VALLADOLID"	"VALLADOLID"	"20.6872096"	"-88.2008938"
"CONSUELO ANDRADE"	"CALLE 36 204"	"VALLADOLID"	"VALLADOLID"	"20.6881368"	"-88.1979356"
"JOSE MA ITURRALDE TRACONIS"	"CALLE 42 203"	"VALLADOLID"	"VALLADOLID"	"20.6886657"	"-88.2026377"
"DEMETRIO RIVERO TRIAY"	"CALLE 54 203"	"VALLADOLID"	"VALLADOLID"	"20.6890364"	"-88.212076"
"FRANCISCO CANTON ROSADO"	"CALLE 34 199"	"VALLADOLID"	"VALLADOLID"	"20.6898472"	"-88.2019846"
"CLUB DE LEONES 5"	"CALLE 27 157"	"VALLADOLID"	"VALLADOLID"	"20.6909133"	"-88.1817077"
"CLUB DE LEONES 2"	"CALLE 41"	"VALLADOLID"	"VALLADOLID"	"20.6909133"	"-88.1817077"
"MODELO VALLADOLID"	""	"VALLADOLID"	"VALLADOLID"	"20.691457"	"-88.174955"
"JOSE INES NOVELO"	"CALLE 26"	"VALLADOLID"	"VALLADOLID"	"20.6928578"	"-88.1915562"
"JOSE INES NOVELO"	"CALLE 26"	"VALLADOLID"	"VALLADOLID"	"20.6928578"	"-88.1915562"
"CHICHEN ITZA"	"CALLE 4"	"PISTE"	"TINUM"	"20.695957"	"-88.58536"
"DELIO MORENO CANTON"	"CALLE 39 205"	"VALLADOLID"	"VALLADOLID"	"20.6968268"	"-88.1845757"
"JACINTO CANEK"	""	"SAN FRANCISCO GRANDE"	"TINUM"	"20.6972862"	"-88.4729249"
"MIGUEL HIDALGO Y COSTILLA"	"CALLE 29 205 A"	"VALLADOLID"	"VALLADOLID"	"20.6976107"	"-88.2163543"
"ZACI"	"CALLE 40"	"VALLADOLID"	"VALLADOLID"	"20.6989837"	"-88.2022685"
"ESCUELA SECUNDARIA ZA-CI"	"CALLE 40 157"	"VALLADOLID"	"VALLADOLID"	"20.6989837"	"-88.2022685"
"JOSEFA CENTENO ROSADO"	"CALLE 27"	"VALLADOLID"	"VALLADOLID"	"20.6992691"	"-88.1973684"
"RAMON NAVARRETE ROSADO"	"CALLE 27 157 NA"	"VALLADOLID"	"VALLADOLID"	"20.6992691"	"-88.1973684"
"FERNANDO MONTES DE OCA"	""	"SAN FRANCISCO GRANDE"	"TINUM"	"20.6994118"	"-88.4725383"
"FELIPE CARRILLO PUERTO"	"CALLE 12"	"PISTE"	"TINUM"	"20.6995941"	"-88.58954"
"ANDRES QUINTANA ROO"	""	"SAN FRANCISCO GRANDE"	"TINUM"	"20.7004057"	"-88.4722124"
"ANTONIO MEDIZ BOLIO"	"CALLE 25 181"	"VALLADOLID"	"VALLADOLID"	"20.7006481"	"-88.198801"
"ANTONIO MEDIZ BOLIO"	""	"XOCEN"	"VALLADOLID"	"20.7006481"	"-88.198801"
"ESCUELA COMUNITARIA CONAFE"	""	"CHAN YOKDZONOT"	"VALLADOLID"	"20.7010455"	"-88.2196087"
"SECUNDARIA COMUNITARIA CONAFE"	""	"CHAN YOKDZONOT"	"VALLADOLID"	"20.7010455"	"-88.2196087"
"ESCUELA CONAFE"	""	"TIMAS"	"VALLADOLID"	"20.7010455"	"-88.2196087"
"JOSE MARIA ITURRALDE TRACONIS"	""	"KANXOC"	"VALLADOLID"	"20.7018882"	"-88.21305"
"JOSE MARIA ITURRALDE TRACONIS"	""	"KANXOC"	"VALLADOLID"	"20.7018882"	"-88.21305"
"NICOLAS BRAVO"	""	"SAN RAFAEL"	"MAXCANU"	"20.704444"	"-90.157222"
"RICARDO LOPEZ MENDEZ"	"CALLE 25 181"	"VALLADOLID"	"VALLADOLID"	"20.705314"	"-88.1850986"
"ANTONIO MEDIZ BOLIO"	"CALLE 62 198"	"VALLADOLID"	"VALLADOLID"	"20.7053152"	"-88.1853381"
"EMILIANO ZAPATA"	"CALLE 18"	"HUHI"	"HUHI"	"20.722527"	"-89.1616316"
"JUSTO SIERRA MENDEZ"	"CALLE 21 126"	"HUHI"	"HUHI"	"20.7244615"	"-89.1666584"
"FELIPE CARRILLO PUERTO"	"CALLE 20 99"	"HUHI"	"HUHI"	"20.7257929"	"-89.1620179"
"MANUEL MENDOZA Y MENDOZA"	NA	"POPOLA"	"VALLADOLID"	"20.7323201"	"-88.2369133"
"HUNAB KUH"	"CALLE 19 87"	"HOMUN"	"HOMUN"	"20.7378562"	"-89.2818523"
"CUAUHTEMOC"	"CALLE 14 111 A"	"CUZAMA"	"CUZAMA"	"20.7399601"	"-89.3166586"
"MIGUEL ANGEL HERCILA AVILEZ"	"CALLE 15"	"CUZAMA"	"CUZAMA"	"20.7412987"	"-89.3158588"
"LEONA VICARIO"	"CALLE 26"	"TECOH"	"TECOH"	"20.7420348"	"-89.4726018"
"FELIPE CARRILLO PUERTO"	"CALLE 24"	"TECOH"	"TECOH"	"20.7484703"	"-89.4754877"
"ARISTEO VAZQUEZ DELGADO"	"CALLE 21-A 98"	"TECOH"	"TECOH"	"20.7490953"	"-89.4739906"
"ARISTEO VAZQUEZ DELGADO"	"CALLE 21-A 98"	"TECOH"	"TECOH"	"20.7490953"	"-89.4739906"
"VICENTE GUERRERO"	"CALLE 23"	"CHOCHOLA"	"CHOCHOLA"	"20.7493969"	"-89.8302238"
"NICOLAS BRAVO"	"CALLE 20 91"	"CHOCHOLA"	"CHOCHOLA"	"20.7510538"	"-89.8302551"
"RICARDO MOLINA SOLIS"	""	"EKNAKAN"	"CUZAMA"	"20.7615545"	"-89.3675589"
"FELIPE CARRILLO PUERTO"	"CALLE 21 111"	"TINUM"	"TINUM"	"20.7672704"	"-88.3920694"
"NIÑOS HEROES"	"CALLE 22 100"	"TINUM"	"TINUM"	"20.7675355"	"-88.3917886"
"FEDERICO PASSLER"	""	"XOCEMPICH"	"DZITAS"	"20.7677438"	"-88.572264"
"MARTIRES DE CHICAGO"	""	"USPIBIL"	"CHEMAX"	"20.7688857"	"-88.0041504"
"MIGUEL HIDALGO Y COSTILLA"	"CALLE 13"	"SANAHCAT"	"SANAHCAT"	"20.7726904"	"-89.2142237"
"MIGUEL HIDALGO Y COSTILLA"	"CALLE 19 114"	"HOMUN"	"HOMUN"	"20.7726904"	"-89.2142237"
"MIGUEL HIDALGO Y COSTILLA"	"CALLE 26 135"	"HOCTUN"	"HOCTUN"	"20.7726904"	"-89.2142237"
"MIGUEL HIDALGO Y COSTILLA"	"CALLE 26 135"	"HOCTUN"	"HOCTUN"	"20.7726904"	"-89.2142237"
"ESCUELA SECUNDARIA TECNICA NUM. 46"	"CALLE 30"	"KANTUNIL"	"KANTUNIL"	"20.7847743"	"-89.1796035"
"CECILIO CHI"	"CALLE 13 56"	"TEMOZON"	"TEMOZON"	"20.8027647"	"-88.2019245"
"ERMILO ABREU GOMEZ"	"CALLE 22 89"	"ACANCEH"	"ACANCEH"	"20.8040237"	"-89.4552209"
"VICENTE GUERRERO"	"CALLE 4"	"TEMOZON"	"TEMOZON"	"20.8057614"	"-88.1952955"
"ESCUELA SECUNDARIA TECNICA NUM. 13"	"CARRETERA ACANCEH-HOMUN KILOMETRO 1"	"ACANCEH"	"ACANCEH"	"20.8107266"	"-89.4435218"
"PRIMITIVO RUBIO AVILA"	"CALLE 30 115"	"ACANCEH"	"ACANCEH"	"20.8117483"	"-89.4592978"
"SALVADOR RODRIGUEZ LOSA"	"CALLE 21"	"TIMUCUY"	"TIMUCUY"	"20.8123351"	"-89.5231203"
"PREESCOLAR COMUNITARIO"	""	"SAN ANTONIO CHUC"	"TUNKAS"	"20.8134906"	"-88.7798035"
"ESCUELA SECUNDARIA TECNICA NUM. 40"	""	"MOLAS"	"MERIDA"	"20.8150437"	"-89.6342854"
"AMPARO ROSADO"	"CALLE 14 76"	"ACANCEH"	"ACANCEH"	"20.81695"	"-89.4484248"
"AMPARO ROSADO"	"CALLE 14 76"	"ACANCEH"	"ACANCEH"	"20.81695"	"-89.4484248"
"EKNAKAN"	"CALLE 26"	"HOCABA"	"HOCABA"	"20.8173969"	"-89.2497431"
"FELIPE CARRILLO PUERTO"	"CALLE 52"	"TEKIK DE REGIL"	"TIMUCUY"	"20.8194688"	"-89.5607335"
"ALBINO J LOPE"	"CALLE 23 116"	"ACANCEH"	"ACANCEH"	"20.8206298"	"-89.457132"
"ESCUELA SECUNDARIA TECNICA NUM. 61"	"CALLE 16 60"	"SAN JOSE TZAL"	"MERIDA"	"20.8208247"	"-89.6577666"
"EMILIANO ZAPATA"	"CALLE 23"	"SAN JOSE TZAL"	"MERIDA"	"20.8218546"	"-89.6565649"
"SALVADOR ALVARADO"	"CALLE 18"	"SAN JOSE TZAL"	"MERIDA"	"20.8222246"	"-89.6599481"
"SALVADOR ALVARADO"	""	"SACCHICH"	"ACANCEH"	"20.8313791"	"-89.4409846"
"PREESCOLAR COMUNITARIO"	""	"SACCHICH"	"ACANCEH"	"20.8314192"	"-89.4384527"
"IMPERIO MAYA"	"CALLE 31"	"DZITAS"	"DZITAS"	"20.8373714"	"-88.5259821"
"SALVADOR ALVARADO"	"CALLE 30 106"	"SEYE"	"SEYE"	"20.8375577"	"-89.3715175"
