NOMBRE,CALLE+Y+NUMERO,LOCALIDAD,MUNICIPIO
BATALLA+DE+PUEBLA,CALLE+11,XAYA,TEKAX
RODOLFO+MENENDEZ+DE+LA+PEÑA,CALLE+11,TEKOM,TEKOM
ESCUELA+PRIMARIA,CALLE+11,TEKOM,TEKOM
MARIA+MONTESSORI,CALLE+11,TEMOZON,TEMOZON
ESCUELA+SECUNDARIA+TECNICA+NUM.+39,CALLE+11,TEMOZON,TEMOZON
EDGAR+EULOGIO+MOGUEL+BARRERA,CALLE+11,TETIZ,TETIZ
CONCEPCION+CASTRO+ANDRADE,CALLE+11+2,MERIDA,MERIDA
CENTRO+EDUCATIVO+ITZIMNA,CALLE+11+203,MERIDA,MERIDA
JARDIN+DE+NIÑOS+ITZIMNA,CALLE+11+203,MERIDA,MERIDA
CENTRO+EDUCATIVO+MONTESSORI+DE+MERIDA,CALLE+11+257,MERIDA,MERIDA
TEDY,CALLE+11+332,MERIDA,MERIDA
GRUPO+MONTESSORI+DE+LA+CIUDAD+DE+MERIDA-A.C.,CALLE+11+332,MERIDA,MERIDA
CENTRO+ESCOLAR+LOS+NIÑOS+DEL+MAÑANA,CALLE+11+516,MERIDA,MERIDA
CENTRO+ESCOLAR+LOS+NIÑOS+DEL+MAÑANA,CALLE+11+518,MERIDA,MERIDA
CONSUELO+ANDRADE,CALLE+11+52+A,XANABA,IZAMAL
NUEVA+CREACION,CALLE+11+52+A,XANABA,IZAMAL
VENUSTIANO+CARRANZA,CALLE+11+76,DZILAM+DE+BRAVO,DZILAM+DE+BRAVO
EMILIANO+ZAPATA,CALLE+11+87,CELESTUN,CELESTUN
JOSEFA+ORTIZ+DE+DOMINGUEZ,CALLE+11+AVENIDA+PRINCIPAL,CELESTUN,CELESTUN
IRMA+FLOR+CAMARGO+MARTINEZ,CALLE+11+NA,SUDZAL,SUDZAL
LAZARO+CARDENAS+DEL+RIO,CALLE+11+NA,TELCHAC,TELCHAC+PUEBLO
CENTRO+EDUCATIVO+INFANTIL+MI+MUNDO+NUEVO,CALLE+110+574,MERIDA,MERIDA
FELIPE+CARRILLO+PUERTO,CALLE+111-A,MERIDA,MERIDA
FELIPE+CARRILLO+PUERTO,CALLE+111-A,MERIDA,MERIDA
MARIA+DEL+SOCORRO+TRINCHAN+AGUILAR,CALLE+112,MERIDA,MERIDA
JOAQUIN+COELLO+COELLO,CALLE+112+735,MERIDA,MERIDA
FELIPE+CARRILLO+PUERTO,CALLE+112+735,MERIDA,MERIDA
FRANCISCO+I.+MADERO,CALLE+112+SN,MERIDA,MERIDA
MARIA+CURIE,CALLE+115,MERIDA,MERIDA
JUSTO+SIERRA+MENDEZ,CALLE+115+520,MERIDA,MERIDA
JUSTO+SIERRA+MENDEZ,CALLE+115+520,MERIDA,MERIDA
JOSE+VASCONCELOS,CALLE+115+NA,MERIDA,MERIDA
SILVIA+NELLY+CUEVAS+AGUILAR,CALLE+115+SN,MERIDA,MERIDA
ESTEFANIA+CASTAÑEDA,CALLE+116,MERIDA,MERIDA
MANUEL+GUTIERREZ+NAJERA,CALLE+116-A,MERIDA,MERIDA
CARMEN+GOMEZ+RUL,CALLE+117,MERIDA,MERIDA
COLEGIO+HUMANISTA+ALFRED+NOBEL,CALLE+118+221,MERIDA,MERIDA
JESUS+REYES+HEROLES,CALLE+118+314,MERIDA,MERIDA
PABLO+BOLIO+PONCE,CALLE+118+314,MERIDA,MERIDA
FRANCISCO+MARQUEZ,CALLE+12,BUCTZOTZ,BUCTZOTZ
ISMAEL+RODRIGUEZ+ARAGON,CALLE+12,CUNCUNUL,CUNCUNUL
U'+NAJIL+U+XOOK,CALLE+12,CHOCHOLA,CHOCHOLA
POPOL+VUH,CALLE+12,HOCABA,HOCABA
MIGUEL+HIDALGO+Y+COSTILLA,CALLE+12,SANTO+DOMINGO,MAXCANU
ADOLFO+CISNEROS+CAMARA,CALLE+12,MERIDA,MERIDA
VICENTE+RIVA+PALACIO,CALLE+12,MUNA,MUNA
MARIANO+MATAMOROS,CALLE+12,TIBOLON,SOTUTA
VALENTIN+GOMEZ+FARIAS,CALLE+12,TAHDZIU,TAHDZIU
JUAN+DE+DIOS+RODRIGUEZ+HEREDIA,CALLE+12,TEMOZON,TEMOZON
REVOLUCION,CALLE+12,TEMOZON,TEMOZON
FELIPE+CARRILLO+PUERTO,CALLE+12,PISTE,TINUM
