ID,CCT,NOMBRE,TURNO,NIVEL,MATRICULA (TOTAL DE ALUMNOS) CICLO 2016-2017,MUNICIPIO,LOCALIDAD,CALLE Y NUMERO,COLONIA,REGION
64,31DJN0247S,DESPERTAR INFANTIL,MATUTINO,PREESCOLAR,40,BACA,TIXKUNCHEIL,CALLE 21 99 A,MOTUL,
65,31KJN0114L,PREESCOLAR COMUNITARIO,DISCONTINUO,PREESCOLAR,2,BACA,KANKABCHEN GAMBOA,,MOTUL,
66,31DPR0190Y,BENITO JUAREZ GARCIA,MATUTINO,PRIMARIA,235,BACA,BACA,CALLE 19-A,MOTUL,
67,31EPR0003M,JOSE E TORRES CERVANTES,MATUTINO,PRIMARIA,271,BACA,BACA,CALLE 21 103,MOTUL,
68,31DPR0939T,JUSTO SIERRA MENDEZ,MATUTINO,PRIMARIA,13,BACA,SAN ISIDRO KUXUB,,MOTUL,
69,31DPR0897K,EMILIANO ZAPATA,MATUTINO,PRIMARIA,81,BACA,TIXKUNCHEIL,CALLE 20 108,MOTUL,
70,31KPR0002Y,PRIMARIA COMUNITARIA,DISCONTINUO,PRIMARIA,10,BACA,KANKABCHEN GAMBOA,SN,MOTUL,
71,31EES0045E,JOSE LOPEZ PORTILLO Y ROJAS,VESPERTINO,SECUNDARIA,282,BACA,BACA,CALLE 30-A,MOTUL,
72,31ETV0101M,SALVADOR ZUBIRAN,MATUTINO,SECUNDARIA,55,BACA,TIXKUNCHEIL,,MOTUL,
73,31DJN0158Z,PABLO PICASSO,MATUTINO,PREESCOLAR,87,BOKOBA,BOKOBA,CALLE 27 97,IZAMAL,
74,31DPR0171J,IGNACIO ZARAGOZA,VESPERTINO,PRIMARIA,155,BOKOBA,BOKOBA,CALLE 21 92,IZAMAL,
75,31DPR1728W,GABRIEL NAVARRETE PEREYRA,MATUTINO,PRIMARIA,57,BOKOBA,BOKOBA,CALLE 21 99,IZAMAL,
76,31EES0090R,GENER ROBERTO SOSA SOSA,MATUTINO,SECUNDARIA,121,BOKOBA,BOKOBA,CALLE 21,IZAMAL,
77,31DJN0054D,EMILIANO ZAPATA,MATUTINO,PREESCOLAR,161,BUCTZOTZ,BUCTZOTZ,CALLE 22,MOTUL,
78,31DJN0182Z,FRANCISCO MARQUEZ,MATUTINO,PREESCOLAR,152,BUCTZOTZ,BUCTZOTZ,CALLE 12,MOTUL,
79,31DCC2008Q,X-K'AN LOOL,MATUTINO,PREESCOLAR,36,BUCTZOTZ,X-BEC,,MOTUL,
80,31KJN0156K,PREESCOLAR COMUNITARIO,DISCONTINUO,PREESCOLAR,9,BUCTZOTZ,SANTO DOMINGO,,MOTUL,
81,31KJN0005E,PREESCOLAR COMUNITARIO,DISCONTINUO,PREESCOLAR,9,BUCTZOTZ,LA GRAN LUCHA,,MOTUL,
82,31KJN0155L,PREESCOLAR COMUNITARIO,DISCONTINUO,PREESCOLAR,6,BUCTZOTZ,SAN FRANCISCO,,MOTUL,
83,31DPR0142O,LEOPOLDO AGUILAR ROCA,VESPERTINO,PRIMARIA,75,BUCTZOTZ,BUCTZOTZ,CALLE 29,MOTUL,
84,31DPR0666T,ESTEBAN TORRES PACHECO,MATUTINO,PRIMARIA,111,BUCTZOTZ,BUCTZOTZ,CALLE 11,MOTUL,
85,31DPR0909Z,LEOPOLDO AGUILAR ROCA,MATUTINO,PRIMARIA,285,BUCTZOTZ,BUCTZOTZ,CALLE 29,MOTUL,
86,31EPR0004L,ELIGIO ANCONA CASTILLO,MATUTINO,PRIMARIA,297,BUCTZOTZ,BUCTZOTZ,CALLE 19 99,MOTUL,
87,31DPR0928N,EL NIÑO ARTILLERO,MATUTINO,PRIMARIA,51,BUCTZOTZ,X-BEC,,MOTUL,
88,31DPB0071J,MARIANO ARISTA,MATUTINO,PRIMARIA,29,BUCTZOTZ,SANTO DOMINGO,,MOTUL,
89,31DPR0245K,FELIPE CARRILLO PUERTO,MATUTINO,PRIMARIA,39,BUCTZOTZ,LA GRAN LUCHA,,MOTUL,
90,31KPR0003X,PRIMARIA COMUNITARIA,DISCONTINUO,PRIMARIA,19,BUCTZOTZ,SAN FRANCISCO,,MOTUL,
91,31DST0011H,ESCUELA SECUNDARIA TECNICA NUM. 11,MATUTINO,SECUNDARIA,426,BUCTZOTZ,BUCTZOTZ,CALLE 20,MOTUL,
92,31ETV0102L,AMADO NERVO,MATUTINO,SECUNDARIA,68,BUCTZOTZ,X-BEC,,MOTUL,
93,31KTV0007S,SECUNDARIA COMUNITARIA,DISCONTINUO,SECUNDARIA,11,BUCTZOTZ,SANTO DOMINGO,,MOTUL,
94,31KTV0001Y,SECUNDARIA COMUNITARIA,DISCONTINUO,SECUNDARIA,16,BUCTZOTZ,LA GRAN LUCHA,,MOTUL,
95,31KTV0011E,SECUNDARIA COMUNITARIA,DISCONTINUO,SECUNDARIA,9,BUCTZOTZ,SAN FRANCISCO,,MOTUL,
96,31DJN0110F,CHAC-MOOL,MATUTINO,PREESCOLAR,143,CACALCHEN,CACALCHEN,CALLE 18 91,IZAMAL,
97,31DJN2029S,RITA CETINA GUTIERREZ,MATUTINO,PREESCOLAR,88,CACALCHEN,CACALCHEN,CALLE 21,IZAMAL,
98,31DPR0235D,IGNACIO ALLENDE,VESPERTINO,PRIMARIA,273,CACALCHEN,CACALCHEN,CALLE 18 96,IZAMAL,
99,31DPR0929M,IGNACIO ALLENDE,MATUTINO,PRIMARIA,318,CACALCHEN,CACALCHEN,CALLE 21 96,IZAMAL,
100,31EPR0006J,JOSE MA MORELOS Y PAVON,MATUTINO,PRIMARIA,170,CACALCHEN,CACALCHEN,CALLE 21 111,IZAMAL,
