ESCUELA+COMUNITARIA+CONAFE,,TIXKOCHOH,TEKANTO
PRIMARIA+COMUNITARIA,,SAN+FRANCISCO+DZON,TEKANTO
SECUNDARIA+COMUNITARIA,,SAN+FRANCISCO+DZON,TEKANTO
FRANCISCO+VILLA,,CANEK,TEKAX
SALVADOR+ALVARADO,,MANUEL+CEPEDA+PERAZA,TEKAX
PREESCOLAR+INDIGENA+PAEPI,,CHACMULTUN,TEKAX
BENITO+JUAREZ+GARCIA,,ALFONSO+CASO,TEKAX
FRANCISCO+I.+MADERO,,KANCAB,TEKAX
ADOLFO+RUIZ+CORTINEZ,,KINIL,TEKAX
IGNACIO+ZARAGOZA,,PENCUYUT,TEKAX
PREESCOLAR+COMUNITARIO,,MAC-YAN+(SAN+ISIDRO+MAC-YAN),TEKAX
PREESCOLAR+COMUNITARIO,,NUEVA+SANTA+CRUZ+(SANTA+CRUZ+CUTZA),TEKAX
ANDRES+QUINTANA+ROO,,TIXCUYTUN,TEKAX
VICENTE+GUERRERO,,XAYA,TEKAX
PREESCOLAR+COMUNITARIO,,SAN+PEDRO+XTOKIL,TEKAX
PREESCOLAR+INDIGENA+PAEPI,,CHAN+DZINUP,TEKAX
PREESCOLAR+INDIGENA+PAEPI,,POCOBOCH,TEKAX
5+DE+MAYO,,BENITO+JUAREZ,TEKAX
PREESCOLAR+COMUNITARIO,,SAN+AGUSTIN+(SALVADOR+ALVARADO),TEKAX
PREESCOLAR+INDIGENA+PAEPI,,HOUITZ,TEKAX
IGNACIO+LOPEZ+RAYON,,HUNTOCHAC,TEKAX
PREESCOLAR+INDIGENA+PAEPI,,JOSE+LOPEZ+PORTILLO,TEKAX
DANIEL+AYALA+PEREZ,,KANTEMO,TEKAX
PREESCOLAR+COMUNITARIO,,SUDZAL+CHICO,TEKAX
PREESCOLAR+INDIGENA+PAEPI,,SAN+MARCOS,TEKAX
PREESCOLAR+COMUNITARIO+INDIGENA,,SAN+ANTONIO+TUK,TEKAX
PREESCOLAR+INDIGENA+PAEPI,,SAN+LUIS,TEKAX
NIÑOS+HEROES,,BECANCHEN,TEKAX
FELIPE+CARRILLO+PUERTO,,BECANCHEN,TEKAX
ANTONIO+GRANADOS+MALDONADO,,CANEK,TEKAX
ARTEMIO+ALPIZAR+RUZ,,MANUEL+CEPEDA+PERAZA,TEKAX
CALMECAC,,CHACMULTUN,TEKAX
BENITO+JUAREZ+GARCIA,,ALFONSO+CASO,TEKAX
SALVADOR+ALVARADO,,KANCAB,TEKAX
ENRIQUE+AVILA+VASQUEZ,,KANCAB,TEKAX
JOSE+MA+LUIS+MORA,,KINIL,TEKAX
MANUEL+GAMIO,,NOHALAL,TEKAX
JULIAN+M+CASTILLO,,PENCUYUT,TEKAX
PRIMARIA+INDIGENA+PAEPI,,SAN+FELIPE+SEGUNDO,TEKAX
