ID	CCT	NOMBRE	CALLE Y NUMERO	LOCALIDAD	MUNICIPIO
119	31DPR1723A	ANA MARIA DE LOS ANGELES PIÑA AZCORRA	CALLE 15	CANSAHCAB	CANSAHCAB
120	31EPR0007I	DAVID VIVAS ROMERO	CALLE 19 89	CANSAHCAB	CANSAHCAB
121	31DPR0018P	JUAN DE DIOS GOMEZ Y GOMEZ		SAN ANTONIO XIAT	CANSAHCAB
122	31DPR1686N	DAMIAN CARMONA		SANTA MARIA	CANSAHCAB
123	31DST0015D	ESCUELA SECUNDARIA TECNICA NUM. 15	CARRETERA CANSAHCAB-TEMAX KILOMETRO 1	CANSAHCAB	CANSAHCAB
124	31EES0006C	VICTOR MANUEL MARTINEZ HERRERA	CALLE 20 86	CANSAHCAB	CANSAHCAB
125	31DCC0274Z	LOL BEH	CALLE 19	CANTAMAYEC	CANTAMAYEC
126	31DCC0147D	NARCISO MENDOZA		CHOLUL	CANTAMAYEC
127	31KCC0017U	PREESCOLAR INDIGENA PAEPI		NENELA	CANTAMAYEC
128	31DPR0937V	FRANCISCO J. MUJICA	CALLE 26	CANTAMAYEC	CANTAMAYEC
129	31DPR0935X	ARCADIO TUZ CHAN	CALLE 9	CHOLUL	CANTAMAYEC
130	31DPB0066Y	JOSE CLEMENTE OROZCO		NENELA	CANTAMAYEC
131	31EES0114K	MOISES SAENZ	CALLE 21 102 NA	CANTAMAYEC	CANTAMAYEC
132	31DJN0151F	EMILIANO ZAPATA	CALLE 11 87	CELESTUN	CELESTUN
133	31DJN2043L	JUGUEMOS A APRENDER	CALLE 9 102	CELESTUN	CELESTUN
134	31DPR0138B	BERTA MARIA GONZALEZ RODRIGUEZ	CALLE 21 NA	CELESTUN	CELESTUN
135	31EPR0008H	JOSE ALAYOLA PREVE	CALLE 7 93 NA	CELESTUN	CELESTUN
136	31EPR0211T	JOSE ALAYOLA PREVE	CALLE 5 93	CELESTUN	CELESTUN
137	31EES0081J	JOSEFA ORTIZ DE DOMINGUEZ	CALLE 11 AVENIDA PRINCIPAL	CELESTUN	CELESTUN
138	31DJN0040A	EDUARDO URZAIZ RODRIGUEZ	CALLE 18 175	CENOTILLO	CENOTILLO
139	31DJN0174Q	FRANCISCO GONZALEZ BOCANEGRA	CALLE 16	CENOTILLO	CENOTILLO
140	31KJN0009A	PREESCOLAR COMUNITARIO		TIXBACAB	CENOTILLO
141	31DPR0152V	MIGUEL HIDALGO Y COSTILLA	CALLE 14 147	CENOTILLO	CENOTILLO
142	31DPR0936W	GRACIANO RICALDE GAMBOA	CALLE 14 147	CENOTILLO	CENOTILLO
